Series Name,Series Code,Country Name,Country Code,2023 [YR2023]
Urban population,SP.URB.TOTL,Syrian Arab Republic,SYR,13334396
Urban population,SP.URB.TOTL,Tajikistan,TJK,2863928
Urban population,SP.URB.TOTL,Tanzania,TZA,25227921
Urban population,SP.URB.TOTL,Thailand,THA,38491230
Urban population,SP.URB.TOTL,Timor-Leste,TLS,441595
Urban population,SP.URB.TOTL,Togo,TGO,4028035
Urban population,SP.URB.TOTL,Tonga,TON,24960
Urban population,SP.URB.TOTL,Trinidad and Tobago,TTO,820255
Urban population,SP.URB.TOTL,Tunisia,TUN,8788529
Urban population,SP.URB.TOTL,Turkiye,TUR,66096079
Urban population,SP.URB.TOTL,Turkmenistan,TKM,3518889
Urban population,SP.URB.TOTL,Turks and Caicos Islands,TCA,43412
Urban population,SP.URB.TOTL,Tuvalu,TUV,7549
Urban population,SP.URB.TOTL,Uganda,UGA,13005977
Urban population,SP.URB.TOTL,Ukraine,UKR,25935150
Urban population,SP.URB.TOTL,United Arab Emirates,ARE,8353814
Urban population,SP.URB.TOTL,United Kingdom,GBR,57852807
Urban population,SP.URB.TOTL,United States,USA,278977409
Urban population,SP.URB.TOTL,Uruguay,URY,3278345
Urban population,SP.URB.TOTL,Uzbekistan,UZB,18399889
Urban population,SP.URB.TOTL,Vanuatu,VUT,86891
Urban population,SP.URB.TOTL,"Venezuela, RB",VEN,25504192
Urban population,SP.URB.TOTL,Viet Nam,VNM,39029513
Urban population,SP.URB.TOTL,Virgin Islands (U.S.),VIR,100958
Urban population,SP.URB.TOTL,West Bank and Gaza,PSE,4007712
Urban population,SP.URB.TOTL,"Yemen, Rep.",YEM,13721710
Urban population,SP.URB.TOTL,Zambia,ZMB,9530988
Urban population,SP.URB.TOTL,Zimbabwe,ZWE,5419091
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 11/13/2024,,,,
